	ketene (A)	ethanol (A)	Acetaldehyde (A)	acetone (A)	Acetic acid (A)	acetic anhydride (A)				
Time	Peak area	Peak area	Peak area	Peak area	Peak area	Peak area	T	N2	H2	aa
808	22186.692	14065.038	15909.002	2436508.4	8986465.988	56795.118	340	109	28	7
812	23101.559	15785.915	17515.607	2391629.7	8646144.43	47659.403	340	109	28	7
816	23279.997	15826.686	17586.986	2422418.894	8715807.32	46607.075	340	109	28	7
820	21805.313	14205.379	16307.006	2339253.175	8688376.028	48988.6	340	109	28	7
824	22205.874	15322.076	16492.587	2421392.315	9488918.103	52868.194	340	109	28	7
828	21697.944	14065.53	16261.883	2334423.323	8355720.599	47758.229	350	109	28	7
832	28467.981	15125.598	20119.195	2776119.791	8194514.903	42318.577	350	109	28	7
836	27771.624	14299.936	19379.759	3179842.443	8317823.661	38779.712	350	109	28	7
840	30648.031	12528.119	20785.388	3393877.369	6886609.283	28762.873	350	109	28	7
844	28731.843	13587.125	19686.86	3248276.875	7608155.405	49639.521	350	109	28	7
848	31566.528	15319.694	22427.942	3442315.261	7104006.301	29220.378	350	109	28	7
852	30004.465	13950.613	20523.422	3373015.214	7502783.607	36144.788	350	109	28	7
856	34348.987	15565.018	23458.025	3325542.189	6944987.271	28144.509	350	109	28	7
860	31461.253	15125.429	20796.818	3364884.19	7521259.63	31477.406	350	109	28	7
864	29435.315	13696.298	20183.074	3387221.937	7080895.643	28154.8	350	109	28	7
868	30889.629	15335.834	21396.763	3332087.8	7220570.757	36925.219	350	109	28	7
872	29167.266	13348.051	19395.761	3331176.152	7215490.587	30117.492	350	109	28	7
876	33864.377	17131.334	21570.703	3452011.591	8509459.088	39616.676	350	109	28	7
880	28357.374	12089.79	19864.986	3200610.793	5877863.653	22369.438	350	109	28	7
884	29750.825	14688.707	20135.004	3380116.995	8036363.601	39262.095	350	109	28	7
888	28357.497	12441.05	19338.387	3175327.187	6179365.205	36189.217	350	109	28	7
892	42493.13	17857.174	24237.419	3452601.375	8158387.577	49347.296	350	109	28	7
896	28589.229	12886.278	19727.89	3216630.113	6240148.777	40685.865	350	109	28	7
900	30157.872	16333.74	20750.513	3367403.659	8162521.498	39220.473	350	109	28	7
904	28894.935	13001.309	20240.254	3071822.936	5648666.531	22011.713	350	109	28	7
908	29075.581	14416.928	19488.987	3295354.372	7795468.153	38350.208	350	109	28	7
912	29391.6	13344.521	20304.507	3115553.061	5592383.258	31707.742	350	109	28	7
916	29337.564	15338.623	19461.86	3345327.989	8184852.759	39581.025	350	109	28	7
920	28125.927	11870.45	19541.527	3058169.638	5204020.546	21471.675	350	109	28	7
924	28857.233	14680.193	18835.031	3285534.301	7876826.894	38069.158	350	109	28	7
928	27860.748	11810.869	20082.518	2937878.794	5390043.407	25047.503	350	109	28	7
932	28490.392	14496.516	19323.842	3222750.022	7406212.988	56616.23	350	109	28	7
936	30577.683	16213.909	21578.559	3250619.147	7099742.059	34538.826	350	109	28	7
940	29453.966	15830.679	19696.911	3337889.127	8605221.208	45992.81	350	109	28	7
944	29650.519	15971.109	21527.31	3321268.254	7558487.61	36237.247	350	109	28	7
948	30062.32	17166.055	20712.257	3280851.253	8574555.139	43609.633	350	109	28	7
952	28718.872	14362.275	19714.861	3213333.748	7297747.215	34501.671	350	109	28	7
956	30689.378	17798.229	20575.389	3358808.605	8300954.284	43631.707	350	109	28	7
960	28820.014	15319.852	19722.974	3196653.656	7958492.046	39035.179	350	109	28	7
964	29641.539	16673.555	19796.573	3259917.609	8170735.753	39572.022	350	109	28	7
968	28725.918	14874.32	19173.386	3174759.639	7596695.61	36746.89	350	109	28	7
972	29644.027	16537.024	20153.407	3270651.864	8263265.782	41997.805	350	109	28	7
976	28882.231	15452.295	19336.153	3176384.015	7768625.454	45212.84	350	109	28	7
980	29388.625	16100.925	18920.451	3303620.378	8258221.275	43821.468	350	109	28	7
984	29094.225	15650.508	19093.742	3229988.08	8061705.731	50463.509	350	109	28	7
988	30993.414	18659.104	21416.713	3229434.338	8264007.814	40422.512	350	109	28	7
992	29035.283	16170.161	18762.647	3261543.423	8348387.647	46763.586	350	109	28	7
