							T	H2	N2	AA							
964	128075.147	57241.638	45525.215	3557289.604	6957823.868	28887.597	350	28	109	7							
968	136431.922	63088.584	49547.894	3718816.264	7102908.512	27703.546	350	28	109	7							
972	136430.679	62980.913	47644.669	3724695.145	7732974.395	32146.106	350	28	109	7							
976	140976.556	64775.793	49838.545	3752625.593	7368880.714	30489.846	350	28	109	7							
980	136923.66	63157.59	47680.82	3725843.98	7873038.746	34769.546	350	28	109	7							
984	132491.114	58549.422	44521.331	3622131.188	6538566.039	24576.233	350	28	109	7							
988	133627.763	60358.188	46615.888	3637824.018	6963064.215	50484.547	350	28	109	7							
992	137103.295	61994.267	48031.433	3695776.446	6959501.568	27758.719	350	28	109	7							
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
