	ketene (A)	ethanol (A)	Acetaldehyde (A)	acetone (A)	Acetic acid (A)	acetic anhydride (A)				
Injection date	Peak area	Peak area	Peak area	Peak area	Peak area	Peak area	T	H2	N2	AA
452	9414.908	14565.275	17995.034	963640.384	10092227.53	80468.148	320	28	109	7
456	9308.563	14421.688	16983.991	960615.086	10372339.55	83064.32	320	28	109	7
460	9462.301	15658.96	17470.882	959941.49	10842789.46	91125.229	320	28	109	7
464	9100.27	13362.074	17959.44	948065.657	8689723.645	68759.939	320	28	109	7
468	9322.917	14700.421	17705.848	956738.176	9963821.303	78714.13	320	28	109	7
472	23556.487	17411.479	24123.234	942747.569	8941045.752	67170.675	320	28	109	7
476	9203.371	14483.172	17152.092	947664.397	9854474.216	79601.572	320	28	109	7
480	9004.618	12952.468	17821.565	936695.382	8324929.518	61266.815	320	28	109	7
484	10837.971	16675.658	19194.138	947560.85	10413448.78	107194.875	320	28	109	7
488	9030.633	13324.28	17545.8	926705.45	8814335.054	67280.637	320	28	109	7
492	11690.517	17250.472	23303.489	957506.368	9741855.574	77448.802	320	28	109	7
496	9093.612	13028.682	19087.152	919240.598	7672459.243	55477.196	320	28	109	7
500	10286.432	16134.246	19543.64	1043243.376	9973034.072	78931.49	330	28	109	7
504	12213.236	11872.69	21345.995	1352137.372	7120466.35	48565.081	330	28	109	7
508	12718.843	15489.234	20369.186	1421955.951	9554229.956	68628.82	330	28	109	7
512	11856.125	12651.718	20860.679	1288642.225	7570984.745	72038.727	330	28	109	7
516	12698.447	16243.898	19051.051	1442121.433	10553924.21	81739.443	330	28	109	7
520	11819.07	10985.073	20293.556	1289643.787	6254490.325	44315.18	330	28	109	7
524	12535.788	13991.039	18201.892	1420809.267	9114176.658	67253.789	330	28	109	7
528	13162.319	13081.851	21877.506	1332772.357	6876573.771	43634.242	330	28	109	7
532	27474.51	17972.184	20338.554	1419272.434	9446172.517	71111.591	330	28	109	7
536	13927.572	12932.321	23595.587	1332398.148	5848594.941	37960.669	330	28	109	7
540	12898.109	16390.915	19143.581	1447692.033	10281909.91	79982.714	330	28	109	7
544	21772.422	14941.715	23158.614	1355586.442	7553961.866	57806.484	330	28	109	7
548	12057.066	15006.225	17717.621	1405963.467	9616588.03	73495.897	330	28	109	7
552	12431.279	14526.79	17509.766	1400798.336	9536654.987	72896.677	330	28	109	7
556	12347.685	16255.714	17757.344	1409545.181	10159272.39	84597.6	330	28	109	7
