time	ketene (A)	ethanol (A)	Acetaldehyde (A)	acetone (A)	Acetic acid (A)	acetic anhydride (A)	Temperature	H2 flow	N2 flow	Acid flow	
time	Peak area	Peak area	Peak area	Peak area	Peak area	Peak area	asd	asd	asd	asd	
748	115194.825	32363.242	96145.509	2529472.294	9586924.489	87442.829	340	109	28	7	
752	91236.603	30145.771	90540.295	2523271.334	9361089.816	104525.191	340	109	28	7	
756	91710.539	30561.982	89248.272	2564930.499	10183530.59	94324.921	340	109	28	7	
760	91849.066	30421.979	92589.295	2506668.613	9060152.245	80769.949	340	109	28	7	
764	92739.926	31265.024	90544.384	2575246.411	10798568.23	99952.7	340	109	28	7	
768	94529.462	31923.727	95213.128	2557144.518	9691223.541	85040.367	340	109	28	7	
772	97601.789	35436.527	95579.063	2735034.25	13563993.9	137799.09	340	109	28	7	
776	89890.399	29551.539	94246.089	2465568.981	8948579.442	78537.483	340	109	28	7	
780	91157.548	31572.092	88504.662	2549536.995	10702059.16	127275.744	340	109	28	7	
784	90513.421	29170.029	84324.409	2519828.109	9768080.742	93442.31	340	109	28	7	
788	90507.489	31203.405	86899.785	2520440.435	10195732.09	133258.933	340	109	28	7	
792	93867.552	32785.56	94049.032	2532811.397	9815850.226	89361.744	340	109	28	7	
796	90298.338	31133.525	86193.3	2518308.883	10337406.26	94656.471	340	109	28	7	
800	89672.949	30252.094	85264.824	2487783.827	9502901.156	87499.846	340	109	28	7	
804	91760.012	32586.743	84714.167	2521731.462	10365195.16	114064.451	340	109	28	7	
808	89807.826	30653.108	84412.624	2500063.221	9776964.085	90360.551	340	109	28	7	
812	93154.973	33999.237	87666.774	2559604.223	10780759.49	125709.472	340	109	28	7	
816	89416.868	29679.095	85056.295	2461153.424	9288861.689	87152.647	340	109	28	7	
820	93471.29	32566.419	88074.642	2562850.707	10687983.67	101491.412	340	109	28	7	
824	89487.61	30781.43	84470.27	2477891.855	9960023.032	95152.332	340	109	28	7	
828	94602.879	33073.116	89930.617	2489140.252	9628010.673	89812.4	340	109	28	7	
832	90734.268	29886.752	87426.677	2467635.631	9351344.833	109398.103	340	109	28	7	
836	92874.325	31518.075	86188.414	2539950.278	10334103.12	99907.42	340	109	28	7	
840	89997.533	30655.046	85758.289	2440089.249	9599007.537	140949.428	340	109	28	7	
844	92525.451	34063.997	86750.024	2516375.571	10601857.93	102957.139	340	109	28	7	
848	89916.514	30073.516	86395.755	2435239.5	9378612.09	114360.372	340	109	28	7	
852	91107.168	30783.191	86836.587	2463290.798	9862219.721	92915.916	340	109	28	7	
856	92266.706	31895.111	88297.431	2465420.381	9654142.763	103537.797	340	109	28	7	
860	90408.457	31355.377	85835.256	2448533.726	9942188.778	95038.889	340	109	28	7	
864	101293.333	34468.192	95011.808	2732434.995	8950152.672	78902.409	340	109	28	7	
868	110457.02	37255.557	96527.173	3386470.986	8785800.857	75411.464	350	109	28	7	
872	125240.824	40607.041	105281.937	3539843.809	8100750.891	65252.792	350	109	28	7	
876	112462.01	38990.878	96847.194	3457048.945	10071045.19	89654.789	350	109	28	7	
880	116570.401	39294.575	102300.19	3583707.85	8781589.808	76384.235	350	109	28	7	
884	114438.656	39071.139	100025.14	3569565.643	9260181.733	108024.958	350	109	28	7	
888	113551.988	37836.373	98326.018	3561488.39	8720784.797	72811.462	350	109	28	7	
892	114656.382	39400.705	99537.958	3598755.793	9386363.191	108357.596	350	109	28	7	
896	116302.246	40727.299	104932.147	3548345.502	8874846.12	73568.461	350	109	28	7	
900	113836.535	38751.27	99981.427	3519813.002	8813252.596	81750.339	350	109	28	7	
904	114198.119	39302.808	98720.855	3582755.984	9250459.38	40.125	350	109	28	7	
908	115075.596	40120.735	99497.375	3556786.047	9440777.163	83711.683	350	109	28	7	
912	111739.339	37955.944	97648.3	3482969.972	8625917.124	73262.293	350	109	28	7	
916	112576.519	38158.607	97789.626	3504121.632	8772805.656	75127.599	350	109	28	7	
920	113102.512	39550.88	96691.151	3538257.601	9139614.12	80720.893	350	109	28	7	
924	116866.046	41812.622	100162.859	3569032.706	9581326.845	84686.492	350	109	28	7	
928	112575.3	39493.192	94511	3519116.12	9175761.235	80628.557	350	109	28	7	
932	114177.459	39952.688	92825.728	3597178.388	9747129.329	92772.091	350	109	28	7	
936	113113.264	38398.597	94781.134	3515159.405	8838413.469	108321.128	350	109	28	7	
940	113168.118	40695.15	94983.202	3592082.7	9676095.957	91019.166	350	109	28	7	
944	112115.738	38346.013	94394.39	3481395.972	8582944.596	71735.888	350	109	28	7	
948	113165.055	40881.788	94353.708	3558930.395	9618421.934	87202.112	350	109	28	7	
952	115859.382	39495.55	95364.757	3462748.521	8953676.649	103399.776	350	109	28	7	
956	112794.583	40999.466	93517.873	3516884.481	9522981.885	85060.323	350	109	28	7	
960	114003.517	40704.79	94869.869	3455499.432	8831624.767	92464.397	350	109	28	7	
964	112382.161	38814.62	93640.265	3443379.508	8727253.442	76317.87	350	109	28	7	
