	ketene (A)	ethanol (A)	Acetaldehyde (A)	acetone (A)	Acetic acid (A)	acetic anhydride (A)				
Injection date	Peak area	Peak area	Peak area	Peak area	Peak area	Peak area	T	N2	H2	aa
416	45598.119	21099.48	49416.307	540976.887	10341084.44	82853.63	320	109	28	7
420	46024.644	22275.518	46916.664	550220.867	11995508.95	99466.867	320	109	28	7
424	45367.888	20710.706	46931.535	544388.607	10533919.55	82210.903	320	109	28	7
428	46652.467	23796.552	44935.999	567808.174	13035202.7	127383.079	320	109	28	7
432	45397.874	20966.076	45630.355	547866.068	10358570.65	78569.17	320	109	28	7
436	45309.157	21528.857	45303.977	541127.659	11100633.23	101688.947	320	109	28	7
440	47953.637	24272.908	49249.529	554370.17	10666225.02	85092.57	320	109	28	7
444	45209.603	21790.095	44932.431	526717.361	10652309.22	84226.617	320	109	28	7
448	44221.868	21120.207	43138.553	526165.724	10664329.89	86338.82	320	109	28	7
452	46661.932	22368.221	47039.557	529279.206	9575274.697	84976.87	320	109	28	7
456	46126.37	24420.77	41405.746	565800.783	13062070.69	116255.593	320	109	28	7
460	61339.385	23406.008	45959.894	534307.615	10556965.12	85626.086	320	109	28	7
464	44011.841	21067.945	42314.094	529136.043	9910649.713	79555.955	320	109	28	7
468	44285.731	20725.376	44139.08	508873.258	9547417.257	75876.063	320	109	28	7
472	44308.764	22067.303	40758.673	525423.579	11000848.17	99823.872	320	109	28	7
476	44510.34	21763.961	39609.411	535761.043	11325139.26	104204.222	320	109	28	7
480	43829.591	20830.007	41023.691	519821.288	10093987.18	123823.485	320	109	28	7
484	47716.243	25938.273	43792.604	536456.609	11010773.7	91487.728	320	109	28	7
488	42823.68	19291.545	41660.892	482099.988	8943331.002	73408.252	320	109	28	7
492	45581.044	23335.632	42296.927	540163.954	11309542.79	96533.408	320	109	28	7
496	46559.462	21652.186	44300.31	508561.203	8920779.804	67472.404	320	109	28	7
500	51176.882	22909.297	43017.096	679217.057	9907972.844	78996.014	330	109	28	7
504	50389.375	22174.414	43292.122	688272.017	8868238.321	76662.853	330	109	28	7
508	55375.7	26436.515	42426.126	827999.118	11360189.23	96121.221	330	109	28	7
512	53340.027	25412.755	42679.906	751863.677	11269428.33	100806.836	330	109	28	7
516	53970.796	24889.045	42184.117	789011.818	10217517.69	81507.223	330	109	28	7
520	55212.787	25032.248	42604.435	797776.954	10278149.67	84082.07	330	109	28	7
524	53505.97	24165.423	41902.361	767002.159	9937735.587	7401.4	330	109	28	7
528	53591.598	23862.879	41166.243	773321.879	9591966.919	78868.405	330	109	28	7
532	54009.204	24789.216	41634.487	771925.923	10341547.84	121052.987	330	109	28	7
536	56262.116	26473.802	47199.556	752568.04	9374480.594	75404.772	330	109	28	7
540	54269.359	25343.12	40956.344	779161.396	10335655.07	87247.719	330	109	28	7
544	54873.998	26893.251	41876.792	776411.697	10289893.49	85313.989	330	109	28	7
548	56328.038	27970.173	42196.186	788164.177	10412494.38	81451.947	330	109	28	7
552	53951.189	26123.94	39318.531	770426.168	11113536.07	98741.989	330	109	28	7
556	55230.48	25077.363	44056.473	738935.027	8550378.342	63419.435	330	109	28	7
560	53718.608	25881.906	38873.874	765584.2	11197269.05	102286.368	330	109	28	7
564	52314.995	22280.905	38874.351	726110.307	8564561.746	65633.862	330	109	28	7
568	53574.913	25810.171	38356.908	766372.57	10625752.35	97239.746	330	109	28	7
572	52985.648	22967.002	38271.859	750027.189	8641066.168	67422.243	330	109	28	7
576	52667.413	24300.238	38176.064	736020.511	9647631.667	95932.017	330	109	28	7
580	54257.375	26930.668	41185.505	729158.926	9332987.364	346.78	330	109	28	7
584	54004.452	26917.97	37474.355	775339.311	10918629.72	105655.368	330	109	28	7
588	55199.491	27076.777	41431.363	765125.985	8748931.829	64270.977	330	109	28	7
592	55485.633	28701.818	38768.923	773033.864	11920359.79	108402.925	330	109	28	7
596	51170.2	20465.35	38031.6	691973.75	7042864.513	47618.9	330	109	28	7
600	63112.86	29458.028	39251.723	781948.197	11430957.36	110261.503	330	109	28	7
604	51084.3	21891.376	37040.947	696610.895	7491498.508	54909.382	330	109	28	7
608	53305.523	25708.033	36606.467	749383.404	10322392.09	93960.974	330	109	28	7
612	52804.947	23459.38	38722.138	724180.206	8067998.839	58408.131	330	109	28	7
616	58676.028	29125.804	41072.078	771212.83	10557845.77	89416.196	330	109	28	7
620	53863.786	25100.072	38372.808	735639.926	9626356.675	75831.661	330	109	28	7
624	54979.129	26261.288	37609.284	739836.986	10774390.02	98494.536	330	109	28	7
628	53762.026	24238.211	39412.522	726169.861	8426934.119	80180.646	330	109	28	7
632	55020.75	25665.068	37952.873	737963.044	9870305.892	86598.64	330	109	28	7
636	53392.037	23125.192	39913.178	706484.68	7415651.289	75298.782	330	109	28	7
640	56632.29	27499.784	43891.396	713976.208	9179590.423	73043.512	330	109	28	7
644	53535.065	21928.413	41832.155	649409.411	6444038.011	41901.917	330	109	28	7
648	55744.791	28582.621	37997.111	759464.706	11313832.04	99449.589	330	109	28	7
652	53964.751	22832.743	41305.78	646464.535	6815943.368	57663.479	330	109	28	7
656	54807.618	27717.351	37111.08	730021.838	11189701.58	95931.862	330	109	28	7
660	57344.029	30881.616	39887.067	745979.026	10816431.51	93285.724	330	109	28	7
664	54582.464	27422.014	36473.051	734544.614	10874570.21	99362.306	340	109	28	7
668	68471.268	29725.853	42135.055	1128242.103	9218780.219	75278.651	340	109	28	7
672	64331.65	30807.195	40041.83	1000647.713	10792955.19	135587.203	340	109	28	7
676	68129.381	32871.548	44235.481	1039490.632	9958745.292	82194.776	340	109	28	7
680	67853.665	32392.231	41274.337	1116041.059	10668546.36	94466.988	340	109	28	7
684	67741.933	34045.026	41518.318	1097598.943	11172470.68	92613.601	340	109	28	7
688	76910.17	33653.965	42739.018	1076465.315	10122811.94	82784.171	340	109	28	7
692	66524.668	31308.972	40314.549	1072386.072	10434184.65	90918.129	340	109	28	7
696	68720.502	33607.842	42491.899	1069618.031	9831739.83	81008.379	340	109	28	7
700	66825.75	31830.003	40166.186	1069137.057	10343792.36	87058.545	340	109	28	7
704	66271.686	31116.183	40201.71	1040174.794	10049606.84	83891.868	340	109	28	7
708	64728.75	28542.692	40013.102	985069.307	8981097.521	74306.256	340	109	28	7
712	67375.327	31587.779	39947.282	1052602.713	10545998.68	96042.905	340	109	28	7
716	64853.194	27802.071	39103.755	983930.308	8438976.151	84335.363	340	109	28	7
720	65434.66	29125.14	37717.157	1034372.695	8965031.546	73952.093	340	109	28	7
724	65629.59	31475.711	38500.079	1036356.336	10408151.04	145746.739	340	109	28	7
728	99463.044	36035.434	43176.474	1076298.577	11870830.02	115311.839	340	109	28	7
732	66585.888	31457.052	39316.618	1037949.041	9510575.934	81324.221	340	109	28	7
736	65627.606	30919.542	38344.079	1024093.292	10074173.33	91208.991	340	109	28	7
740	87470.344	34171.543	40485.357	1065433.91	9918656.166	85171.073	340	109	28	7
744	65735.613	30682.079	38342.587	1025922.815	9685492.697	80449.111	340	109	28	7
748	68858.17	35726.041	40460.506	1027953.616	11020064.78	103845.302	340	109	28	7
752	65691.571	30744.483	38093.801	1014238.11	9209852.343	77384.495	340	109	28	7
756	65228.782	29163.268	37181.535	989128.232	9023858.155	77262.304	340	109	28	7
760	66238.727	33023.739	37244.564	1029177.449	10977619.89	98483.489	340	109	28	7
764	65604.036	31471.207	36242.938	1005043.837	10505500.87	99440.377	340	109	28	7
768	66185.73	32814.582	37374.811	1032012.473	10859372.25	116874.241	340	109	28	7
772	66310.602	30518.382	39217.828	972247.246	7928279.118	64616.93	340	109	28	7
776	65028.689	29689.757	37832.995	972098.847	8761625.651	80514.45	340	109	28	7
780	69101.083	38293.276	40845.667	1041089.232	11906309.88	115572.979	340	109	28	7
784	67374.219	35281.867	38572.532	1015540.247	11196021.2	103929.753	340	109	28	7
788	65340.74	30760.317	37542.255	974898.263	9004990.992	73479.494	340	109	28	7
792	68640.107	35148.881	40031.329	1005222.608	10272548.77	96429.275	340	109	28	7
796	66132.982	32955.61	37622.396	994939.73	10706448.36	99141.087	340	109	28	7
800	68303.603	33033.907	40450.945	953328.154	8910982.964	73746.643	340	109	28	7
804	66428.351	33586.476	37382.46	994134.565	10451081.44	98919.858	340	109	28	7
808	66271.611	31915.789	36556.279	1000328.203	9950415.173	86247.162	340	109	28	7
812	65787.703	31230.119	37620.492	969809.22	8819460.26	80902.021	340	109	28	7
816	66334.966	30181.384	37214.263	973889.505	8538699.973	70646.23	340	109	28	7
820	66498.708	35810.371	36688.176	1004649.015	12118433.8	144283.479	340	109	28	7
824	68608.593	33535.407	41018.624	979708.023	8792015.371	68763.653	340	109	28	7
