T							T	H2	N2	AA							
644	25556.901	11705.55	17582.253	2142974.326	8906588.544	48340.311	330	28	109	7							
648	26081.05	12440.229	18165.099	2153791.592	9649100.722	36422.841	330	28	109	7							
652	27498.239	13990.06	20152.769	2166734.685	9247672.379	31963.023	330	28	109	7							
656	26577.112	12882.029	18239.303	2183572.424	9873675.788	34664.326	330	28	109	7							
660	27853.516	13836.561	21449.445	2138149.79	9296410.01	30844.985	330	28	109	7							
664	26863.833	12778.921	18382.025	2172659.713	9656354.397	34785.673	330	28	109	7							
668	38924.774	14937.08	28217.911	3234076.426	7977005.993	21038.494	340	28	109	7							
672	32462.091	13327.417	21808.179	2867594.354	8791134.956	26920.219	340	28	109	7							
676	34084.545	13279.915	23522.2	3074424.766	7900168.945	23913.983	340	28	109	7							
680	34968.431	13845.603	23689.861	3110802.366	8760884.819	27374.253	340	28	109	7							
684	34744.793	14277.707	25030.579	3103075.708	8495569.436	24203.986	340	28	109	7							
688	35325.653	14090.304	22931.333	3154004.675	8899936.177	39930.106	340	28	109	7							
692	34951.829	13627.347	22786.724	3117339.127	8608168.593	24895.75	340	28	109	7							
696	36987.759	15951.611	24565.356	3116783.804	8998125.132	32086.412	340	28	109	7							
700	36014.198	14758.258	23419.549	3183915.625	9307239.06	28742.247	340	28	109	7							
704	49516.809	15389.939	23801.14	3132556.558	9098157.606	29234.798	340	28	109	7							
708	35470.87	14164.745	23586.934	3118979.529	8622802.342	25212.712	340	28	109	7							
712	36165.431	15279.677	22956.658	3180789.756	9682075.806	31585.782	340	28	109	7							
716	34935.027	13993.407	23290.67	3079703.208	8143724.69	24612.25	340	28	109	7							
720	39294.025	18910.394	25574.449	3213060.623	10660302.48	34804.861	340	28	109	7							
724	35307.897	13909.894	22204.839	3089170.717	8552638.608	33355.644	340	28	109	7							
728	37633.808	15252.719	22998.61	3246505.188	9760702.491	29680.88	340	28	109	7							
732	36145.251	14680.709	24117.365	3096333.594	8268729.471	23599.953	340	28	109	7							
736	39679.518	19562.85	32105.909	3161998.293	8899781.985	26103.161	340	28	109	7							
740	49062.912	16232.157	24008.576	3135097.625	8649453.263	25471.096	340	28	109	7							
744	38955.735	17827.273	23650.097	3300480.55	11276128.66	36239.472	340	28	109	7							
748	37621.19	15168.806	23372.861	3078818.732	8776501.743	54008.604	340	28	109	7							
752	35880.17	14547.818	22561.894	3084453.876	8200907.822	23789.997	340	28	109	7							
756	38109.361	16033.202	24764.343	3085807.36	9003249.733	29229.678	340	28	109	7							
760	35955.962	14576.058	22913.631	3056996.677	8314459.345	27546.802	340	28	109	7							
764	36211.529	14119.888	22157.622	3065811.304	8060010.702	32278.833	340	28	109	7							
768	35665.9	14389.5	22554.1	3021638.813	8067703.492	42204.393	340	28	109	7							
772	38845.425	17892.798	26737.722	3096363.236	8911523.666	27713.214	340	28	109	7							
776	35802.344	14269.382	22464.256	3020361.095	7714963.974	27120.402	340	28	109	7							
780	36983.42	15279.213	22413.6	3077072.444	8672726.131	28398.996	340	28	109	7							
784	38058.241	16491.461	23697.466	3027433.419	8184563.509	26149.422	340	28	109	7							
788	37644.452	15792.324	22959.117	3091882.92	9089059.281	28921.347	340	28	109	7							
792	41125.114	14419.4	22082.165	2937260.54	7617220.254	22817.165	340	28	109	7							
796	38440.424	16429.143	22645.343	3137025.364	9457736.308	30349.428	340	28	109	7							
800	40736.415	16205.49	25343.573	3010078.952	7993375.179	24082.983	340	28	109	7							
804	38155.915	16059.836	23031.876	3078942.054	9323227.366	29413.628	340	28	109	7							
808	37632.027	15256.248	22172.851	3099430.373	8504231.378	29689.845	340	28	109	7							
812	37979.01	16184.378	22328.339	3055468.61	9141652.099	30744.282	340	28	109	7							
816	39115.215	18065.168	25144.789	3017872.492	8115014.033	24763.548	340	28	109	7							
820	37535.606	15553.426	22234.07	3014484.076	8564546.843	35984.277	340	28	109	7							
824	37587.233	15364.042	22353.378	3021969.953	8344883.123	25311.818	340	28	109	7							
828	39631.157	17448.922	23798.772	3033444.572	8822703.164	26893.673	340	28	109	7							
832	43055.461	16360.708	26187.47	3585592.483	7405717.183	20080.012	350	28	109	7							
836	46967.051	18421.511	27834.759	4042124.612	8407770.082	28753.103	350	28	109	7							
840	46887.223	16856.045	29430.732	4142154.627	6494354.796	14935.342	350	28	109	7							
844	48086.843	18344.054	29140.903	4139931.53	7725465.185	19881.551	350	28	109	7							
848	46273.531	16416.974	28372.208	4107505.253	6520383.733	14475.115	350	28	109	7							
852	50167.311	19160.326	29881.835	4345299.763	7893518.938	19115.022	350	28	109	7							
856	47636.954	17612.637	28817.068	4209768.232	6998561.145	21543.538	350	28	109	7							
